MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
5.3808,16.6,3.4086,0.829,300,4.3186,36.0175,-120.5186,2.7883
2.4013,23.0,4.002,0.8,247,2.5246,38.3819,-117.3781,0.8446
7.0306,29.3,5.5264,1.2354,524,4.5312,34.6247,-116.8267,2.8653
7.8801,29.2,6.0663,1.5084,1173,2.1595,34.8597,-116.3557,3.4441
1.3901,3.1,4.25,1.1065,949,4.9248,38.3801,-120.4853,0.9057
2.0517,23.4,5.6539,1.5981,3888,2.0423,37.1059,-114.9467,0.9095
4.839,11.9,6.7159,1.5877,942,1.2061,41.6618,-121.4319,2.6892
3.7071,47.8,9.4229,2.533,512,3.0431,35.0124,-115.7213,1.1217
4.4367,50.8,5.2475,1.4765,269,4.234,40.8413,-120.0403,2.0709
2.6863,16.3,5.4174,1.4618,1710,3.7908,36.8745,-122.0406,1.2487
7.5961,9.9,8.5549,2.0679,662,4.163,33.7783,-120.8938,3.8935
7.1469,12.2,4.4017,0.88,199,3.8105,34.7717,-116.1046,3.0795
4.6628,25.4,2.8513,0.8,677,2.1797,39.6791,-118.0439,1.9557
8.814,45.6,6.0005,1.2353,300,3.7664,40.353,-123.0649,4.0305
5.9329,26.5,7.6524,1.6141,473,3.0928,32.8759,-123.1983,3.3941
2.6763,3.8,6.2221,1.182,668,2.2903,36.3953,-117.2844,1.1255
5.5915,3.0,5.306,1.3718,322,3.1794,37.1946,-121.9853,3.2629
2.521,12.6,2.6032,0.8,450,2.9437,38.3428,-122.3091,1.944
7.5918,44.0,5.3833,1.0294,367,4.416,38.6809,-116.6302,2.7979
4.3494,32.7,7.9663,1.4609,375,2.4851,40.3903,-121.1121,2.1789
4.0112,29.7,3.0318,0.8,297,2.4384,35.0972,-123.7828,1.8312
2.9786,17.3,5.0105,1.337,452,2.3014,33.5633,-120.0392,2.0452
9.3327,48.4,4.725,0.8759,325,4.8968,34.2716,-118.5236,3.9807
4.0848,17.9,4.1046,0.8001,1063,2.3573,41.4,-118.1844,1.7183
3.466,43.6,5.9958,1.5277,781,4.2968,37.6935,-123.8857,1.6257
3.6281,46.7,6.3866,1.6674,1730,1.9686,34.5814,-119.7376,1.8115
6.1681,25.7,6.3657,1.1848,3009,3.5066,39.9657,-120.7246,2.7704
5.5804,46.6,3.5464,0.9305,1144,3.2625,38.0766,-119.7862,2.3755
5.741,15.1,2.208,0.8,953,4.2334,35.9896,-124.0622,2.9572
5.8037,34.6,6.0248,1.3977,1203,4.0884,32.6739,-121.3961,2.9215
15.0,5.5,4.4882,0.9071,966,3.0819,39.9365,-117.7437,5.0
3.5119,25.2,9.1766,2.4911,692,2.4629,39.3157,-123.1779,2.36
3.2958,12.1,9.269,1.8725,650,4.625,34.99,-114.4282,1.3539
2.7504,4.2,9.4814,2.0959,294,2.3631,35.0234,-114.0639,1.0564
6.4856,1.2,3.6198,0.8,1301,1.0,35.0791,-120.7154,3.7301
8.8232,17.6,6.6387,1.7124,649,1.1414,38.869,-117.35,4.0197
4.1855,31.1,7.2419,1.9474,2121,1.3849,35.2947,-117.8289,1.7905
2.7072,24.2,7.0167,1.8027,1383,3.5957,35.4484,-122.7448,1.7679
2.7328,16.4,4.7912,1.3101,403,5.2145,36.0779,-120.424,1.674
6.6217,51.6,8.0583,1.4758,1803,1.0,41.8119,-114.2032,3.4023
7.0003,48.9,5.5009,1.4686,100,2.2174,36.8709,-123.1594,3.4068
6.2083,7.4,5.7562,1.4753,3116,3.089,36.0851,-118.4606,2.9431
3.0063,22.2,2.4243,0.8,228,4.5455,36.9652,-118.2086,1.1667
5.1515,34.1,6.7895,1.7001,988,2.2121,39.3324,-122.741,2.6987
4.8067,38.4,4.9792,1.2623,936,3.5908,40.8951,-118.8799,1.7792
5.1101,19.7,6.4296,1.3272,1634,2.7499,41.9126,-114.8666,2.0455
7.5599,39.1,5.9702,1.3892,511,5.6072,37.1176,-123.2856,3.5811
5.1251,7.3,5.8619,1.1336,120,3.1445,36.8714,-122.5077,2.2518
6.7352,17.9,5.4086,1.1323,512,3.3557,35.638,-121.8159,3.3121
4.6671,37.5,7.0732,1.7351,558,3.0843,39.9014,-116.6147,1.8563
5.3306,32.9,5.1022,1.0865,129,2.5853,38.7281,-118.4389,2.4888
6.5455,43.7,2.5896,0.8,690,3.9499,35.952,-119.2128,2.614
1.8696,3.4,6.6379,1.5696,281,1.841,37.4261,-116.1833,0.805
3.6995,9.9,3.882,0.8,1118,1.0,34.4553,-114.2282,1.3416
3.3797,3.5,2.8515,0.8,546,2.8498,39.0929,-122.4424,2.3544
3.0547,10.8,3.4555,0.8,3194,3.8156,34.8952,-115.9735,1.4451
3.7997,1.2,6.0667,1.2213,542,2.4192,35.8207,-120.6141,2.416
10.9898,26.7,5.307,1.4656,939,3.1865,33.1471,-122.9671,5.0
2.6658,27.9,2.0,0.8,561,1.7793,34.5888,-121.8065,1.5008
8.0122,34.6,4.7327,1.2824,182,4.0627,34.3514,-120.3074,3.4697
1.6328,20.6,7.8385,1.5835,565,3.6519,39.4854,-115.0588,0.7252
3.6659,1.2,4.5974,0.9749,1215,3.0197,39.0974,-119.4767,1.6112
4.9414,35.4,5.169,1.2444,1077,3.1687,37.6124,-118.0498,2.0948
6.3709,3.8,7.586,2.0769,526,1.6064,36.177,-124.151,3.0878
6.8671,45.2,7.091,1.325,207,1.6511,40.9494,-123.8279,2.9956
7.2139,2.2,7.5435,1.8265,1114,2.878,40.8988,-114.6475,2.9939
3.6356,28.1,2.0,0.8,930,3.5137,38.2269,-115.6977,1.4411
3.396,46.6,8.967,2.4222,1306,3.5644,38.7505,-119.3588,1.1746
7.4991,30.2,6.7728,1.455,534,2.6371,40.0663,-122.3958,3.8906
3.9957,32.0,10.423,2.5855,173,3.7454,39.3664,-124.0782,1.9642
2.0846,35.8,3.9353,0.8,1019,4.4208,34.6366,-114.2588,0.6038
2.2706,7.2,2.0,0.8,660,2.9113,37.2819,-124.4404,1.72
2.5814,35.4,5.5144,1.572,2025,3.3097,33.9429,-122.0047,1.6953
6.0394,45.9,4.9493,1.0686,681,2.7921,40.1891,-117.319,2.5328
4.8815,50.7,6.8073,1.7174,641,2.8737,38.709,-114.6521,2.0054
6.7821,23.6,7.6499,2.1666,929,3.1696,41.8014,-123.2709,3.3079
3.4682,18.6,5.3254,1.1238,413,4.7033,33.7968,-116.3741,1.7018
4.9289,39.4,5.0186,1.2836,397,3.9153,37.3464,-121.0164,2.4791
6.5231,28.7,6.5454,1.2352,615,3.8252,39.3781,-117.363,2.7261
3.7225,14.1,4.9873,1.0733,319,2.5463,40.7398,-123.4854,2.302
5.8948,9.8,4.82,1.2301,554,2.1018,40.6073,-115.4194,2.7822
3.0127,9.7,7.5743,1.3877,3139,3.3895,34.419,-117.0741,0.8967
3.6044,24.4,8.0196,1.7461,1532,4.2437,41.832,-114.4662,1.3904
3.5643,9.7,7.6679,2.0016,851,4.7234,41.8228,-119.2246,1.9492
2.1869,2.0,5.1635,1.1387,2302,1.0,41.7061,-115.1792,1.3812
6.0025,3.7,2.0,0.8,344,5.4464,38.3293,-118.8258,2.4036
3.3816,48.4,5.2036,1.1967,4877,3.417,40.4034,-119.1157,1.3808
4.5154,4.7,3.984,0.9157,460,3.9089,33.2223,-123.5066,2.308
5.9802,4.7,5.2405,1.185,3305,1.2601,34.9269,-115.9512,2.7395
5.8586,24.0,4.1578,1.024,3293,2.7631,33.374,-120.1719,2.898
6.6808,13.5,5.4585,1.4276,164,3.8228,37.3028,-118.1997,2.686
4.2245,50.1,3.4214,0.8,2151,1.8253,41.6649,-117.6677,1.4888
3.4765,47.5,2.9386,0.8,530,1.0,38.6671,-116.3645,1.7687
4.2724,21.6,7.9454,1.5982,422,3.3355,36.8819,-118.4589,1.6127
1.6284,23.9,3.5607,0.9643,1012,2.9502,40.0319,-117.9909,0.8037
1.8809,20.1,5.5007,1.2787,297,4.4413,37.7282,-119.0321,0.5
2.0266,2.9,7.409,2.1105,994,2.8401,36.8477,-118.0535,0.681
